,id,name,url,professional_roles,salary_from,salary_to,currency,gross
2594,114289880,Маркетолог,https://api.hh.ru/vacancies/114289880?host=hh.ru,['Маркетолог-аналитик'],,100000.0,RUR,False
2595,107410320,Head of Brand / Brand Director,https://api.hh.ru/vacancies/107410320?host=hh.ru,['Руководитель отдела маркетинга и рекламы'],,,,
2596,109047930,Финансовый аналитик (Контролер),https://api.hh.ru/vacancies/109047930?host=hh.ru,['Финансовый менеджер'],,,,
2597,110324691,Менеджер проектов (Аналитик),https://api.hh.ru/vacancies/110324691?host=hh.ru,['Бизнес-аналитик'],,,,
2598,111791736,Senior Project manager,https://api.hh.ru/vacancies/111791736?host=hh.ru,['Руководитель проектов'],,,,
2599,111876287,Менеджер по работе с маркетплейсами,https://api.hh.ru/vacancies/111876287?host=hh.ru,"['Менеджер по продажам, менеджер по работе с клиентами']",130000.0,200000.0,RUR,False
2600,111975655,Менеджер по маркетингу и PR,https://api.hh.ru/vacancies/111975655?host=hh.ru,"['Менеджер по маркетингу, интернет-маркетолог']",150000.0,150000.0,RUR,True
2601,112865905,Junior Product Manager,https://api.hh.ru/vacancies/112865905?host=hh.ru,['Менеджер продукта'],90000.0,100000.0,RUR,False
2602,113270901,Руководитель направления маркетинга,https://api.hh.ru/vacancies/113270901?host=hh.ru,['Руководитель отдела маркетинга и рекламы'],,,,
2603,113856103,Менеджер по продажам/Sales manager,https://api.hh.ru/vacancies/113856103?host=hh.ru,"['Менеджер по продажам, менеджер по работе с клиентами']",,,,
2604,114050649,Менеджер по работе с VIP-клиентами,https://api.hh.ru/vacancies/114050649?host=hh.ru,"['Менеджер по продажам, менеджер по работе с клиентами']",,,,
2605,114293248,Менеджер по стратегии,https://api.hh.ru/vacancies/114293248?host=hh.ru,['Менеджер/консультант по стратегии'],,,,
2606,109231769,Системный аналитик,https://api.hh.ru/vacancies/109231769?host=hh.ru,['Системный аналитик'],,,,
2607,112677162,Менеджер маркетплейса ВБ,https://api.hh.ru/vacancies/112677162?host=hh.ru,"['Менеджер по маркетингу, интернет-маркетолог']",80000.0,200000.0,RUR,False
